year_start,fiscal_year,chapter,fce,admissions,male,female,gender_unknown,emergency,waiting_list,planned,other_admission,age_0_14,age_15_59,age_60_74,age_75_plus,day_case,bed_days,mean_age,mean_los
1999,1999-00,Respiratory,741876.0,628239.0,385429.0,,,451928.0,152287.0,,,190003.0,207956.0,150276.0,193439.0,34528.0,3753122.9240528764,44.77642085739396,6.8044808027217485
1999,1999-00,Digestive,1297477.0,1153002.0,646270.0,,,345970.0,709094.0,,,120517.0,631707.0,305568.0,239289.0,602770.0,3192179.776119178,50.225247152743364,5.64696699825893
1999,1999-00,Skin,260372.0,244299.0,129443.0,,,90386.0,140523.0,,,25659.0,144911.0,46779.0,42969.0,119899.0,923483.9097854793,46.249585208855024,7.804028466962654
1999,1999-00,Musculoskeletal,643361.0,618660.0,282776.0,,,120466.0,443241.0,,,26028.0,341825.0,165921.0,109140.0,254661.0,2397815.1062316434,53.01073269906009,6.773265087563593
1999,1999-00,Genitourinary,801024.0,757506.0,293850.0,,,174213.0,499820.0,,,45582.0,472735.0,159854.0,120393.0,355926.0,1992168.5523568494,49.068180229306485,5.087097889701182
1999,1999-00,Pregnancy and childbirth,1178797.0,1162464.0,0.0,,,141970.0,104085.0,,,1317.0,1157129.0,14.0,4792.0,100552.0,2033258.3343289043,28.29474455737502,1.9626317338778432
1999,1999-00,Perinatal,186866.0,164884.0,101683.0,,,15460.0,2182.0,,,186209.0,395.0,104.0,95.0,1467.0,979478.5032663014,0.0,6.444054563162908
1999,1999-00,Congenital,99372.0,92857.0,57730.0,,,9310.0,56588.0,,,77486.0,18693.0,2055.0,1080.0,26971.0,285198.5851724657,11.02880086946021,4.969288129452965
1999,1999-00,Symptoms and signs,1378392.0,1239630.0,621564.0,,,714377.0,351317.0,,,164225.0,615715.0,286485.0,309597.0,303534.0,5853381.10046233,49.32635201016837,8.054489506613502
1999,1999-00,Injury and poisoning,758587.0,697650.0,404577.0,,,587582.0,74948.0,,,136354.0,370317.0,92242.0,159242.0,32434.0,4228171.223543013,42.90905327932063,6.68591011973577
1999,1999-00,Health services factors,1043531.0,1002337.0,467154.0,,,53659.0,310152.0,,,447084.0,365415.0,114421.0,114890.0,320408.0,2796217.755705891,28.680345864186116,4.88843426788471
2000,2000-01,Infectious and parasitic,153273.0,136170.0,79484.0,,,111934.0,15702.0,,,71200.0,50200.0,13313.0,16951.0,15469.0,598235.2947671233,26.475706745480288,5.614950447893627
2000,2000-01,Neoplasms,1353897.0,1269302.0,659888.0,,,155859.0,625966.0,,,45686.0,527506.0,485682.0,294291.0,764846.0,4276446.320780823,59.38572136580552,8.381309287190975
2000,2000-01,Blood and immune,168093.0,147246.0,75313.0,,,45982.0,58427.0,,,18378.0,63053.0,38133.0,48432.0,82789.0,425420.11073972605,52.902851397738154,6.6317544454557895
2000,2000-01,Endocrine and metabolic,148785.0,128149.0,71492.0,,,56777.0,49882.0,,,16257.0,66873.0,36768.0,28682.0,47829.0,716945.5152739726,50.26246597439258,9.335894075343617
2000,2000-01,Mental health,220743.0,198288.0,109383.0,,,130008.0,25140.0,,,12285.0,141968.0,27302.0,38848.0,4198.0,6569620.030465753,46.42379146790612,66.09690726319748
2000,2000-01,Nervous system,235456.0,204462.0,109192.0,,,87350.0,87266.0,,,22348.0,114424.0,48741.0,49678.0,61069.0,1752171.6982876712,50.64432845202501,15.189496126664853
2000,2000-01,Eye,389401.0,386639.0,155821.0,,,22503.0,342215.0,,,18073.0,68072.0,113295.0,189791.0,298303.0,167420.44573972604,67.65478517004323,1.6913595496673097
2000,2000-01,Ear,90224.0,88900.0,48211.0,,,12480.0,74542.0,,,50972.0,28328.0,7402.0,3502.0,48295.0,70094.81097260273,23.0,1.8
2000,2000-01,Circulatory,1071995.0,837594.0,592714.0,,,496819.0,264759.0,,,6421.0,294451.0,382746.0,387761.0,148052.0,7100541.4638493145,66.03142085550772,10.327668226064487
2000,2000-01,Respiratory,705899.0,585199.0,370188.0,,,423152.0,138600.0,,,174475.0,204795.0,141404.0,184524.0,34999.0,3532207.117958904,44.809802818816856,6.976045156601724
2000,2000-01,Digestive,1302382.0,1144411.0,647052.0,,,349871.0,648392.0,,,118487.0,630410.0,305227.0,247669.0,598070.0,3288565.5670684935,50.342588426437096,5.868547323289173
2000,2000-01,Skin,271526.0,250699.0,136413.0,,,95461.0,136678.0,,,25708.0,150793.0,48520.0,46360.0,122868.0,990206.6755068493,46.188725941530464,8.232440723908574
2000,2000-01,Musculoskeletal,657962.0,628406.0,287579.0,,,123770.0,438038.0,,,24896.0,345598.0,171989.0,114770.0,262135.0,2403428.916082192,53.5153671488627,6.677477726677224
2000,2000-01,Genitourinary,793740.0,742879.0,291754.0,,,176670.0,479213.0,,,44301.0,462038.0,158779.0,124868.0,346253.0,2039694.4997808218,49.188437019678986,5.241757880414242
2000,2000-01,Pregnancy and childbirth,1153494.0,1134453.0,0.0,,,131980.0,99571.0,,,1134.0,1126888.0,22.0,5900.0,95567.0,1933701.2105616436,28.291105111946834,1.877998325088817
2000,2000-01,Perinatal,178981.0,156484.0,98479.0,,,16106.0,1774.0,,,178526.0,251.0,3.0,115.0,1407.0,934642.4027123288,0.0,6.450130460775166
2000,2000-01,Congenital,97394.0,90214.0,55851.0,,,8750.0,53545.0,,,75235.0,18777.0,2123.0,1198.0,26442.0,274736.9924931507,11.032055362753352,4.56187958190443
